GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015
0500000US47127,47127,"Moore County, Tennessee",6362,6362,6356,6418,6355,6325,6336,6322
0500000US47129,47129,"Morgan County, Tennessee",21987,21987,22001,22062,21946,21709,21757,21498
0500000US47131,47131,"Obion County, Tennessee",31807,31807,31818,31685,31356,31081,30884,30639
0500000US47133,47133,"Overton County, Tennessee",22083,22078,22091,22177,22208,22004,21981,22129
0500000US47135,47135,"Perry County, Tennessee",7915,7915,7930,7844,7840,7862,7843,7929
0500000US47137,47137,"Pickett County, Tennessee",5077,5077,5072,5135,5073,5046,5084,5146
0500000US47139,47139,"Polk County, Tennessee",16825,16825,16808,16729,16595,16628,16711,16773
0500000US47141,47141,"Putnam County, Tennessee",72321,72367,72601,72905,73339,73788,74467,74553
0500000US47143,47143,"Rhea County, Tennessee",31809,31809,31865,32005,32290,32498,32652,32526
0500000US47145,47145,"Roane County, Tennessee",54181,54180,54144,53820,53472,53011,52756,52753
0500000US47147,47147,"Robertson County, Tennessee",66283,66288,66330,66644,66700,67235,67983,68570
0500000US47149,47149,"Rutherford County, Tennessee",262604,262604,263781,269097,274339,281596,289147,298612
0500000US47151,47151,"Scott County, Tennessee",22228,22228,22235,22110,22157,22004,21994,21950
0500000US47153,47153,"Sequatchie County, Tennessee",14112,14119,14135,14280,14425,14666,14778,14811
0500000US47155,47155,"Sevier County, Tennessee",89889,89876,90131,91282,92436,93532,94889,95946
0500000US47157,47157,"Shelby County, Tennessee",927644,927640,928618,933529,939672,939074,938405,938069
0500000US47159,47159,"Smith County, Tennessee",19166,19162,19135,19156,19126,19064,19040,19295
0500000US47161,47161,"Stewart County, Tennessee",13324,13324,13347,13239,13333,13329,13268,13259
0500000US47163,47163,"Sullivan County, Tennessee",156823,156823,156833,156952,156636,156578,156803,156791
0500000US47165,47165,"Sumner County, Tennessee",160645,160657,161288,163943,166183,169128,172870,175989
0500000US47167,47167,"Tipton County, Tennessee",61081,61081,61147,61318,61659,61712,61812,61870
0500000US47169,47169,"Trousdale County, Tennessee",7870,7869,7867,7809,7780,7785,8002,8042
0500000US47171,47171,"Unicoi County, Tennessee",18313,18313,18275,18272,18233,18052,17928,17860
0500000US47173,47173,"Union County, Tennessee",19109,19109,19100,19216,19112,19051,18984,19119
0500000US47175,47175,"Van Buren County, Tennessee",5548,5548,5548,5523,5616,5553,5611,5677
0500000US47177,47177,"Warren County, Tennessee",39839,39840,39864,39899,39775,39930,40038,40435
0500000US47179,47179,"Washington County, Tennessee",122979,122979,123338,124012,124919,125488,125862,126302
0500000US47181,47181,"Wayne County, Tennessee",17021,17021,16978,16997,16988,16908,16842,16748
0500000US47183,47183,"Weakley County, Tennessee",35021,35021,35031,34912,34780,34283,34142,33960
0500000US47185,47185,"White County, Tennessee",25841,25834,25836,26045,26086,26260,26350,26521
0500000US47187,47187,"Williamson County, Tennessee",183182,183180,184068,188296,193010,198969,205334,211672
0500000US47189,47189,"Wilson County, Tennessee",113993,114011,114620,116787,119106,122002,125418,128911
